Name,Country,City,Type,Main Profile,Problem,Type of help,Company,Reg.No,Web,Public Phone,Additional phones,Short Phone,E-mail,WhatsApp,Location,Working days,Working hours,Non-working days,Working hours,Languages,Short description,Description,ID элемента
"""PESTĪŠANAS ARMIJA"" Sedas korpuss",Latvia,Seda,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/seda/,37126520987,+37129952822,,sergejs.konovs@pestisanasarmija.lv,,"Parka St.23a, Seda, Strenci reg., LV-4728",2-5,16:00-18:00;12:00-15:00;12:00-15:00;13:00-19:00,6-7,13:00-15:00;12:00-14:00,"LV, RU, EN",The Salvation Army Seda Corps,"The Salvation Army Seda Corps
 Weekly activities:
 Tuesday:
 16.00 Painting
 Wednesday:
 12:00 Shower and laundry
 13:00 Children’s club
 Thursday:
 12:00 Bible lesson
 13:00 Children’s club
 Friday:
 13:00 Children’s club
 17:00 Music lesson
 Saturday:
 13:00 Service for children
 13:00 Soup kitchen
 Sunday:
 12:00 Sunday service",4215073098
"""PESTĪŠANAS ARMIJA"" Drustu korpuss",Latvia,Drusti,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/en/centers/drusti/,37126522580,,,inga.muceniece@pestisanasarmija.lv,,"“Aptiekas”, Drusti parish. Rauna reg., LV- 4132",2-5,13:00-15:00;11:00-17:00;11:00-19:00;10:00-19:00,6-7,10:00-19:00;11:00-13:00,"LV, RU, EN",The Salvation Army Drusti Corps,"The Salvation Army Drusti Corps
 Weekly activities:
 Tuesday:
 13:00 Sunday School for children up to 5th grade.
 Wednesday:
 11:00 Women’s Fellowship
 15.00 Workshop for youth, from 12 y.o.
 Thursday:
 11:00 Bible Study
 12:00 Prayer group
 17:00 Workshop for youth, from 12 y.o.
 Friday:
 10:00-12:30 Clothes distribution, showers, laundry
 17:00 Youth meeting
 Saturday:
 10:00-12:30 Clothes distribution, showers, laundry
 17:00 Workshop for youth
 Sunday:
 11:00 Service
 The leaders could be contacted throughout the week for social and spiritual help.
 The leaders also may conduct a funeral.",4215180905
"""PESTĪŠANAS ARMIJA"" Liepajas korpuss",Latvia,Liepaja,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/liepaja/,37126672741,,,gints.rodionovs@pestisanasarmija.lv,,"Rīgas 26 (ieeja no Tirgus ielas 14) Liepāja, LV-3401",2-4,10:00-16:00;10:00-16:00;10:00-17:00;,7,11:00-13:00,"LV, RU, EN",The Salvation Army Liepajas Corps,"The Salvation Army Liepajas Corps
 Weekly activities:
 Tuesday:
 10:00 Washing clothes
 11:30 Bible Study
 13.00 Soup kitchen
 14:00 Showers
 Wednesday:
 10:00 Washing clothes
 11:30 Sports group for seniors
 13:00 Soup kitchen
 14:00 Showers
 Thursday:
 10:00 Washing clothes
 11:30 Women’s Group
 12:30 Prayer Meeting
 13:00 Soup kitchen
 14:00 Showers
 15:00 Music for Children
 Sunday:
 11.00 Service
 11:00 Sunday school",4215509478
"""PESTĪŠANAS ARMIJA"" Saldus korpuss",Latvia,Saldus,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/en/centers/saldus/,37128273901,,,vineta.vanaga@pestisanasarmija.lv,,"Kuldigas St 4a (behind the post office), Saldus LV-3801","2-3,5",9:00-12:00;18:00-20:00;18:00-20:00;,6-7,15:00-17:00;11:00-13:00,"LV, RU, EN",The Salvation Army Saldus Corps,"The Salvation Army Saldus Corps
 Weekly activities:
 Tuesday:
 09:00 – 12.00 Social help day (showers, clothes distribution)
 Wednesday:
 18:00 Bible Study
 Thursday:
 Agreeing beforehand, we go out to home visits, or we can meet in church facilities for conversations, spiritual counselling.
 Friday:
 18:00 Worship and prayer time
 Saturday:
 15:00 Creative time for children
 Sunday:
 11:00 Service",4215642168
"""PESTĪŠANAS ARMIJA"" Iecavas Korpuss",Latvia,Iecava,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/iecava/,37129568002,,,karina.kozlovska@pestisanasarmija.lv,,"Rīgas 23, Iecava, LV-3913",1-5,12:00-19:00;10:30-19:00;12:00-19:00;12:00-18:00,7,10:30-13:00,"LV, RU, EN",The Salvation Army Iecava Corps,"The Salvation Army Iecava Corps
 Weekly activities:
 Monday:
 12:00 Soup kitchen
 16:00 Guitar lesson
 18.15 Aerobics
 Tuesday:
 10.30 Babies music 
 17.30 English
 Wednesday:
 12:00 Soup kitchen
 13.30 Fellowship and songs afternoon
 15.00 Prayers
 Thursday:
 12.00 – 14.00 Distribution of clothes
 15.00 Children’s club
 18.15 Aerobics
 Friday:
 12.00 Soup kitchen
 16.00 Youth meeting
 Sunday:
 10:30 Prayers
 11:00 Service and fellowship
 
 There is an opportunity to wash clothes and to have showers by appointment.",4215755568
"""PESTĪŠANAS ARMIJA"" Bauskas Korpuss",Latvia,Bauska,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/bauska/,37128398613,,,velta.udarska@pestisanasarmija.lv,,"Plūdoņa iela 50, Bauska, LV-3901",2-5,10:00-12:00;11:00-15:00;13:00-15:00;10:00-19:00,7,10:00-13:00,"LV, RU, EN",The Salvation Army Bauska Corps,"The Salvation Army Bauska Corps
 Weekly activities:
 Tuesday:
 10:00-12:00 Distribution of used clothes, shoes, etc.
 Wednesday:
 11:00 Home league
 13:00 Soup kitchen
 Thursday:
 13:00 Soup kitchen
 Friday:
 10:00-12:00 Distribution of used clothes, shoes, etc.
 13:00 Soup kitchen
 16.00 Creative afternoon for children
 18.00 Youth evening
 Sunday:
 10:00 Prayer meeting
 11:00 Service / fellowship
 11.00 Sunday School",4216023875
"""PESTĪŠANAS ARMIJA"" Jelgavas Korpuss",Latvia,Jelgava,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/jelgava/,37129746122,,,jelena.veselova@pestisanasarmija.lv,,"Jelgava, Dobeles iela 42, LV-3001",2-5,17:00-20:30;11:00-14:00;11:00-14:00;17:00-20:30,7,10:00-14:00,"LV, RU, EN",The Salvation Army Jelgava Corps,"The Salvation Army Jelgava Corps
 Weekly activities:
 Tuesday:
 17:00 Christian movie
 18:00 Service
 19:30 Dinner
 Wednesday:
 11:00 Social Day (Showers and distribution of clothes)
 Thursday:
 11:00 Prayers and fellowship with lunch
 Friday:
 17:00 Christian movie
 18:00 Bible lessons
 19:30 Tea
 Sunday:
 10:00 Christian movie
 11:00 Service
 12:30 Lunch",4216205633
"""PESTĪŠANAS ARMIJA"" Daugavpils Korpuss",Latvia,Daugavpils,Church,Church,"Teenagers & Youth in transitional age, Parenting, Substance use / addiction & codependency, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/daugavpils/,37127039933,+371 26380610,,daugavpils@pestisanasarmija.lv,,"Ventspils 70, Daugavpils, LV-5404",1-5,9:00-20:00;9:00-20:00;9:00-20:00;9:00-19:00;9:00-13:00,6-7,11:00-19:00;10:30-15:00,"LV, RU, EN",The Salvation Army Daugavpils Corps,"The Salvation Army Daugavpils Corps
 Weekly activities:
 Monday:
 9:00 Day rehab centre “Bridge”
 11:30 Bible reading
 12:00 Lunch
 13:00 Individual conversations
 17:00 Team meeting “Lunch with God”
 (2x month)
 18:00 Band practice
 Tuesday:
 9:00 Day rehab centre “Bridge”
 11:15 Lectures (Life skills)
 12:00 Lunch
 13:00 Bible lesson
 17:00 Home groups
 18:00 Band practice
 Wednesday:
 9:00 Day rehab centre “Bridge”
 11:00 Service to soup kitchen clients
 12:00 Lunch
 17:00 Lectures for recruits and soldiers
 18:00 Prayer hour
 18:00 Band practice
 Thursday:
 9:00 Day rehab centre “Bridge”
 9:30 Humanitarian aid
 11:30 Lunch
 13:00 Prayer hour
 17:00 Band practice
 Friday:
 9:00 Day rehab centre “Bridge”
 11:30 Lunch
 13:00 Individual conversations / home visits
 Saturday:
 Visiting prisons / orphanages / retired people’s homes
 11:00 Band practice
 17:00 Prayer and worship night (1x month)
 Sunday:
 10:30 Prayer
 11:00 Service
 11:00 Sunday school
 12:30 Fellowship
 13:00 Vocal and choreography group for children",4216447223
"""Atvērtās durvis"" centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Free food, Free stuff, Social centre",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://diakonija.lv/atvertas-durvis,37126479818,+37129222604,,diakonija@diakonija.lv,,"Daugavgrīvas iela 1, Rīga, Latvija LV-1048",1-5,9:00-17:00,,,"LV, RU, EN",Latvian Evangelical Lutheran Church Diakonia Centre,"The LELB Diakonia Centre, together with its long-term partners the Schleswig-Holstein Diakonia and with the financial support of the Action Mench project, has launched the """"Open Doors"""" help centre.
 
 The centre helps people in all kinds of difficulties, working together to find ways and solutions to improve their situation.
 
 Visitors will be provided with a space and time for personal conversations, during which a support person will look into the individual's situation and provide the necessary support according to the situation. Support is available in a wide range of areas, from basic necessities such as a hot meal or a visit to a clothes closet, to expert advice on legal and financial matters.
 
 Free practical help at the Diakonija Centre
 For more information on how to get help contact Inese Viesturi, social assistance organiser - phone: 26479818, e-mail: Inese.Viesture@diakonija.lv, diakonija@diakonija.lv",4216668204
"„Baltā ūdensroze” kopienas centrs , Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Madona,Church,Church,Social centre,Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37125711641,,,,,"Madonā, Parka ielā 6, k.1",,,,,"LV, RU, EN",day centre for adults and for people with mental disabilities.,"The White Rose Community Centre.
 It provides day centre services for adults and day care centre services for people with mental disabilities.
 
 At the beginning of 2022, the Centre has two new branches in Lubāns and Jaunkalsnavas, where a total of about 20 people with mental disabilities are cared for daily.",4222611262
"“Arken” kristīgais centrs  , Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Social centre, Teenagers & Youth in transitional age, Parenting",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37126479818,,,diakonija@diakonija.lv,,"Rīgā, Daugavpils ielā 47-1",,,,,"LV, RU, EN",Day Centre for children,"The support centre for children and families ""Arken"" is located in Riga, Daugavpils iela 47-1, and since 2018 it has been a structural unit of the Diakonija Centre. The Christian Centre offers socialisation and support to children and families every day.",4223672635
",,Gaujaslīči"" kopienas centrs , Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Cesis,Church,Church,"Social centre, Free food, Free stuff",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37129222604,,,gaujaslici@diakonija.lv,,"Rīgā, Daugavpils ielā 47-1",1-5,9:00-17:00,,,"LV, RU, EN",Day centre,"Community Centre. Pre-scheduled appointment needed.
 If you need humanitarian help, please call and ask, we will try as far as possible to source from the central warehouse. At the centre of the day are rooms for conversations, support groups, classes; the possibility of washing clothes; the possibility of a shower; there's a chance to enjoy a warm lunch with customers at the day centre on Tuesday and Thursday before logging in.
 Soup kitchen: Tuesdays and Thursdays after a preliminary agreement.",4223773224
"„Mēs” dienas centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Social centre, Free food, Free stuff",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37126688762,,,mes@diakonija.lv,,"Rīgā, Imantas 8. līnijā, k.1",1-5,9:00-17:00,,,"LV, RU, EN",Day centre,"The multifunctional social services day centre """"Mēs"""".
 The day centre is visited mostly by seniors, but also other people in need of support and help.",4223958240
"""Sirdsgaisma""centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff, Social centre",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37128628596,,,sirdsgaisma@diakonija.lv,,"Ziepju iela 13, Zemgales priekšpilsēta, Rīga, LV-1004, Латвия",1-5,12:00-18:00,,,"LV, RU, EN",The support centre for children,"The support centre for children and families """"Sirdsgaisma"""".
 It provides social services for children aged 7 to 18 and their families. 
 It distributes about 80 portions of hot food daily to the poor and low-income residents of the Ziepniekkalns neighbourhood.
 """"Sirdsgaisma"""" offers children a meaningful leisure time, pedagogical assistance
 
 
 Visitors will be provided with a space and time for personal conversations, during which a support person will look into the individual's situation and provide the necessary support according to the situation. Support is available in a wide range of areas, from basic necessities such as a hot meal or a visit to a clothes closet, to expert advice on legal and financial matters.
 
 Free practical help at the Diakonija Centre
 For more information on how to get help contact Inese Viesturi, social assistance organiser - phone: 26479818, e-mail: Inese.Viesture@diakonija.lv, diakonija@diakonija.lv",4217016360
"„Dzīvības aka”dienas centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Social centre",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37122027117,,,dzivibasaka@diakonija.lv,,"Mežrozīšu iela 43, Riga, Latvia",1-5,9:00-17:00,,,"LV, RU, EN",Day Centre for children and adults,"Day Centre „Dzīvības aka”
 It provides social services for adults and children aged 7 to 18.",4221735532
"''Paaudzes'' dienas centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Social centre",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37127876459,,,paaudzes@diakonija.lv,,"Ūnijas iela 49, Riga, Latvia",1-5,9:00-19:00,,,"LV, RU, EN",Day Centre for children and adults,"Multifunctional day centre.
 It provides social services for adults and children aged 7 to 18.",4221779029
"„Roku rokā” atbalsta centrs, Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Social centre",Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/dienas-centri,37167241965,,,acbg@inbox.lv,,"Līksnas 13, Riga, Latvia",1-5,12:00-20:00,,,"LV, RU, EN","Day Centre for children, age 7 to 18","The support centre for children and families """"Roku rokā"""". 
 It provides social services to children aged 7-18 and their families.",4222504324
Biedrība „Mēs saviem bērniem”,Latvia,Madona,NGO,Church,"Social centre, Parenting, Teenagers & Youth in transitional age, Free food",Location,Biedrība „Mēs saviem bērniem”Biedrība „Mēs saviem bērniem”,40008042036,https://www.madona.lv/lat/biedriba-mes-saviem-berniem,37128601768,,,saviemberniem@inbox.lv,,"Parka iela 4, Madona, Latvia",,,,,"LV, RU, EN","Centre for children, young people and adults with functional disabilities","Centre for children, young people and adults with different functional disabilities",4224246299
Naktspatversme,Latvia,Jekabpils,Government,Church,"Bedtime, Free food",Location,Jēkabpils novada pašvaldība,90000024205,https://www.jekabpils.lv/lv/filiale/naktspatversme,37129469245,,,janina.smirnova@jekabpils.lv,,"Zaļā iela 9, Jēkabpils, Jēkabpils novads, LV-5201",1-4,9:00-12:00;12:30-16:00,,,"LV, RU, EN",Night shelter,The night shelter for persons whose place of residence cannot be established or who are in a crisis situation.,4224977076
Latvijas Sarkanais Krusts-Daugavpils komiteja  (Humānā palīdzība),Latvia,Daugavpils,NGO,Church,"Free food, Free stuff, Refugees",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/ - https://www.redcross.lv/komitejas/daugavpils-komiteja/,37122049603,,,lsk.daugavpils@redcross.lv,,"18. novembra iela 197V, Даугавпилс, Латвия","1,2,4",14:00-18:00;10:00-15:00,,,"LV, RU, EN",Daugavpils Red cross point,Humanitarian aid distribution point,4472281607
Latvijas Sarkanais Krusts-Daugavpils komiteja  (Daugavpils atbalsta paku izdales punkts),Latvia,Daugavpils,NGO,Church,"Free food, Free stuff, Refugees",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/ - https://www.redcross.lv/komitejas/daugavpils-komiteja/,37125762243,,,lsk.daugavpils@redcross.lv,,"Ventspils iela 22, Daugavpils, Латвия","3,2,4",12:00-18:00;10:00-15:00,,,"LV, RU, EN",EC aid package distribution point,"Humanitarian aid distribution point

The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4225307699
Latvijas Sarkanais Krusts-Daugavpils komiteja  (Sociālo pakalpojumu centrs  bērniem „Rīta vēsma”),Latvia,Daugavpils,NGO,Church,"Free stuff, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/ - https://www.redcross.lv/komitejas/daugavpils-komiteja/,37125479986,,,lsk.daugavpils@redcross.lv,,"18. novembra iela 197V, Даугавпилс, Латвия",,,,,"LV, RU, EN",Day Centre for children,"Social centre for children with functional disabilities

The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys at Cesis Red cross point. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4472620784
Latvijas Sarkanais Krusts-Daugavpils komiteja  (Dienas aprūpes centrs),Latvia,Daugavpils,NGO,Church,Social centre,Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/ - https://www.redcross.lv/komitejas/daugavpils-komiteja/,37129477790,,,lsk.daugavpils@redcross.lv,,"18. novembra iela 197V, Даугавпилс, Латвия",,,,,"LV, RU, EN",Day Centre for adults and for people with disabilities.,"Day centre for adults and for people with disabilities.

The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4472703130
Latvijas Sarkanais Krusts - Daugavpils komiteja,Latvia,Daugavpils,NGO,Church,"Free food, Free stuff, Refugees, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/ - https://www.redcross.lv/komitejas/daugavpils-komiteja/,37122036984,+371 25751843,,lsk.daugavpils@redcross.lv,,"18. novembra iela 197V, Даугавпилс, Латвия",,,,,"LV, RU, EN",Daugavpils Red cross point,"- Health room and HIV/AIDS prevention point services (Health promotion activities, specialist reception, healthy lifestyle counselling, blood pressure, blood sugar, cholesterol, body weight, anonymous tests. Address: 197V 18.novembra iela. Appointment required by calling 22036984.
- First aid training for drivers, gun carriers, police officers, social care workers, work teams in educational establishments, pupils, students and others. Registration: 27018935.
- Home care for the elderly, lonely people and people with special needs. Contact: 29477790.
- Technical aids rental point at 197V 18. novembra Street. Opening hours: Mondays from 15.00 to 18.00, Tuesdays and Thursdays from 10.00 to 15.00. Contact: 26225736.",4225240899
Latvijas Sarkanais Krusts - Augšdaugavas komiteja,Latvia,Augšdaugavas novads,NGO,Church,"Free food, Free stuff, Refugees, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/augsdaugavas-komiteja/,37129341751,,,lsk.augsdaugava@redcross.lv,,"Upes iela 1, Ilūkste, Augšdaugavas novads, LV-5447",,,,,"LV, RU, EN",Augšdaugava Red cross point,"- Health and social care;
- Humanitarian aid distribution;
- First aid training;
- Gratuitous blood donation;
- LSC Youth Division
The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4225215846
Latvijas Sarkanais Krusts - Balvi,Latvia,Balvi,NGO,Church,"Free food, Free stuff, Refugees",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/balvi/,37126162614,,,lsk.balvi@redcross.lv,,"Brivibas Street 47, Balvi, LV-4501",,,,,"LV, RU, EN",Balvi Red cross point,"- Blood Donor Movement, donor days;
- Humanitarian aid points;
- Charity campaigns;
- Distribution of EU food packages;
- Youth activities.

The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4225160660
Latvijas Sarkanais Krusts - Cēsis,Latvia,Cesis,NGO,Church,"Free food, Free stuff, Refugees, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/cesis/,37164120782,+37125948345,,lsk.cesis@redcross.lv,,"Bērzaines Street 16, Cesis, LV-4101",,,,,"LV, RU, EN",Cesis Red cross point,"- First Aid training;
- Blood Donor Movement;
- Health centre;
- Humanitatian aid point;
- LatRC Youth activities;
- Distribution of EU food packages;
- Aids rental.

The Latvian Red cross is one of the largest organisations in Latvia providing assistance to people in difficulty. Our assistance is available throughout the territory of Latvia. You can get second-hand clothes, shoes and toys at Cesis Red cross point. A crisis certificate issued by the Social Service may receive food and hygiene parcels of the European support Fund.",4225098478
Latvijas Sarkanais Krusts - Gulbene,Latvia,Gulbene,NGO,Church,"Free food, Free stuff, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/gulbene/,37126307467,+371 29167317,,lsk.gulbene@redcross.lv,,"Rīgas iela 65, Gulbene, Gulbenes pilsēta, LV-4401, Латвия",,,,,"LV, RU, EN",Gulbene Red cross point,"- First Aid trainigl
- Home care;
- Blood Donor Movement;
- Humanitarian Aid pointl
- Distribution of EU food packages;
- Aids rental.",4480635492
Latvijas Sarkanais Krusts - Gulbene (Health centre),Latvia,Gulbene,NGO,Church,"Free food, Free stuff, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/gulbene/,37126307467,+371 29167317,,lsk.gulbene@redcross.lv,,"Dzirnavu iela 7A, Gulbene, Gulbenes pilsēta, Латвия",1-5,9:00-13:00,,,"LV, RU, EN",Health centre,Health centre,4675117082
Latvijas Sarkanais Krusts - Madonas komiteja,Latvia,Madona,NGO,Church,"Free food, Free stuff, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/madonas-komiteja/,37126436684,,,lsk.madona@redcross.lv,," Blaumaņa iela 3, Madona, LV-4801",,,,,"LV, RU, EN",Madona Red cross point,"- First aid training for drivers, people carrying weapons, schoolchildren, workers, etc;
- Health room services;
- Free blood donation;
- Distribution of humanitarian aid to the needy;
- Rental of aids for people with disabilities;
- Promotion of humanitarian values.",4481197287
Latvijas Sarkanais Krusts - Kraslava,Latvia,Kraslava,NGO,Church,"Free food, Free stuff, Social centre",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/kraslava/,37165622250,+371 65681541,,lsk.KDA@redcross.lv,," Grāfa Plātera Street 6-12, Kraslava, LV-5600",,,,,"LV, RU, EN",Kraslava Red cross point,"- First Aid training;
- Self-help centre;
- Home care;
- Health centre (phone: +371 29895230, adress: Vienības Street 63-18, Krāslava, working days from 9:00 to 13:00);
- Blood Donor Movement;
- Humanitarian Aid point;
- Aids rental;
- LatRC Youth;
- Distribution of EU food packages;
- Charity campaigns;
- Social support;
- Projects, cooperation;
- Promotion of humanitarian ideas",4480726730
Latvijas Sarkanais Krusts - Kraslava (Health centre),Latvia,Kraslava,NGO,Church,Health center,Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/committees/kraslava/,37129895230,,,lsk.KDA@redcross.lv,,"Vienības Street 63-18, Krāslava, Latvia",1-5,9:00-13:00,,,"LV, RU, EN",Health centre,"Health centre (phone: +371 29895230, adress: Vienības Street 63-18, Krāslava, working days from 9:00 to 13:00",4675303892
Latvijas Sarkanais Krusts - Latgales komiteja (Rezekne),Latvia,Rezekne,NGO,Church,"Free food, Free stuff, Social centre, Health center",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/latgales-komiteja/,37164625292,,,lsk.latgale@redcross.lv,," Raiņa iela 29, Rēzekne, Rēzeknes novads, LV-4601",1-5,9:00-17:00,,,"LV, RU, EN",Rezekne Red cross point,"- First aid training for drivers, people carrying weapons, schoolchildren, workers, etc;
- Home care for the elderly, lonely and people with disabilities;
- Health room services (Raiņa iela 29, Rezekne, LV-4601, phone +371 64625292, working days 9:00-14:00);
- Free blood donor recruitment;
- Distribution of humanitarian aid to the needy;
- Rental of aids for people with disabilities;
- Specialised transport service
- HIV Prevention Point where anyone can get tested free of charge and anonymously with a test (HIV, Viral Hepatitis B, C and Syphilis), with pre- and post-test counselling. Exchange of syringes and needles, distribution of condoms and other necessary materials to the target group. Confidentiality and equal treatment of each person.",4481116616
Latvijas Sarkanais Krusts - Latgales komiteja (Ludza),Latvia,Ludza,NGO,Church,"Free food, Free stuff, Social centre",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/latgales-komiteja/,37129993693,,,lsk.ludza@redcross.lv,,"Latgales iela 129, Ludza, LV 5701",1-5,9:00-15:00,,,"LV, RU, EN",Ludza Red cross point,"- Rental of technical aids
- Humanitarian aid point
- Specialised medical transport
- First aid
- Low-cost shop
- Room rental
- Emergency room service",4675374785
Latvijas Sarkanais Krusts - Latgales komiteja (Riebini),Latvia,Riebini,NGO,Church,"Free food, Free stuff, Social centre",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/komitejas/latgales-komiteja/,37120227985,,,lsk.latgale@redcross.lv,,"Saules iela 8-2 stavs, Riebiņi, Riebiņu pagasts, Латвия",1-5,9:00-14:00,,,"LV, RU, EN",Ludza Red cross point,"- Rental of technical aids
- Humanitarian aid point
- Specialised medical transport
- Blood Donor Movement
- First aid",4675401622
